customerid,avg_invoice_amt,total_invoice_amt,invoice_count,total_units,country
16553,94.67,1609.44,17,1068,"United Kingdom"
13418,32.24,1579.62,49,614,"United Kingdom"
15194,21.96,1558.99,71,1268,"United Kingdom"
17858,57.66,1556.85,27,1623,"United Kingdom"
15727,22.94,1536.85,67,537,"United Kingdom"
13013,22.81,1528.34,67,802,"United Kingdom"
15044,17.85,1499.75,84,487,"United Kingdom"
15379,24.45,1491.46,61,768,"United Kingdom"
18092,148.57,1485.72,10,532,"United Kingdom"
13174,8.38,1415.97,169,700,"United Kingdom"
12621,43.24,1383.65,32,555,Germany
13488,30.71,1381.92,45,516,"United Kingdom"
17857,268.14,1340.70,5,2164,"United Kingdom"
15039,11.46,1317.76,115,491,"United Kingdom"
12709,93.98,1315.69,14,272,Germany
17949,1314.00,1314.00,1,120,"United Kingdom"
15513,87.57,1313.50,15,354,"United Kingdom"
12429,64.08,1281.50,20,454,Denmark
17827,11.36,1271.80,112,743,"United Kingdom"
13124,20.60,1256.32,61,930,"United Kingdom"
17809,83.43,1251.50,15,358,"United Kingdom"
14146,35.47,1241.43,35,551,"United Kingdom"
15601,16.27,1236.45,76,935,"United Kingdom"
14800,12.98,1219.85,94,1072,"United Kingdom"
13225,301.68,1206.72,4,864,"United Kingdom"
12647,25.40,1193.60,47,329,Germany
13458,39.53,1185.86,30,506,"United Kingdom"
14961,31.12,1182.70,38,566,"United Kingdom"
16003,59.05,1181.00,20,184,"United Kingdom"
14565,21.62,1167.41,54,640,"United Kingdom"
12766,21.68,1149.29,53,424,Portugal
15983,14.18,1148.27,81,700,"United Kingdom"
16705,75.45,1131.72,15,728,"United Kingdom"
14544,19.68,1121.92,57,843,"United Kingdom"
14051,55.01,1100.12,20,400,"United Kingdom"
13941,99.56,1095.12,11,644,"United Kingdom"
15157,20.10,1085.46,54,1078,"United Kingdom"
15615,43.25,1081.19,25,373,"United Kingdom"
17865,25.71,1079.83,42,441,"United Kingdom"
12682,21.94,1075.29,49,476,France
12731,66.99,1071.90,16,418,France
15570,9.34,1064.64,114,440,"United Kingdom"
12683,19.69,1063.08,54,664,France
16244,16.77,1056.63,63,619,"United Kingdom"
14505,7.67,1050.35,137,511,"United Kingdom"
12681,25.21,1033.52,41,585,France
14796,11.83,1028.82,87,672,"United Kingdom"
14606,5.53,1028.15,186,407,"United Kingdom"
17675,63.70,1019.12,16,388,"United Kingdom"
13090,126.05,1008.40,8,197,"United Kingdom"
13756,62.78,1004.40,16,444,"United Kingdom"
12377,23.29,1001.52,43,604,Switzerland
15555,10.42,989.82,95,691,"United Kingdom"
17819,70.01,980.12,14,274,"United Kingdom"
15498,34.88,976.72,28,464,"United Kingdom"
14062,46.03,966.62,21,712,"United Kingdom"
14907,20.44,960.69,47,364,"United Kingdom"
15838,319.17,957.50,3,550,"United Kingdom"
15485,41.31,950.09,23,416,"United Kingdom"
17838,21.76,935.56,43,550,"United Kingdom"
16985,51.85,933.32,18,367,"United Kingdom"
13050,17.55,930.37,53,564,"United Kingdom"
15502,33.19,929.40,28,290,"United Kingdom"
14057,19.29,925.92,48,971,"United Kingdom"
13468,17.19,911.00,53,314,"United Kingdom"
17722,20.23,910.14,45,525,"United Kingdom"
14180,18.29,896.25,49,147,"United Kingdom"
17428,37.25,893.95,24,375,"United Kingdom"
12348,52.52,892.80,17,1254,Finland
12980,296.44,889.32,3,100,"United Kingdom"
13078,30.38,881.16,29,286,"United Kingdom"
12540,44.05,881.01,20,300,Spain
16558,20.97,880.55,42,402,"United Kingdom"
14415,9.95,875.18,88,463,"United Kingdom"
14060,54.63,874.04,16,868,"United Kingdom"
15465,72.32,867.85,12,163,"United Kingdom"
13495,39.34,865.43,22,377,"United Kingdom"
15998,7.32,863.39,118,466,"United Kingdom"
12705,28.60,858.00,30,397,Germany
12583,42.79,855.86,20,449,France
17243,19.00,855.05,45,295,"United Kingdom"
15694,65.18,847.33,13,192,"United Kingdom"
16265,22.13,840.81,38,369,"United Kingdom"
13448,24.40,829.54,34,332,"United Kingdom"
14135,21.74,804.25,37,821,"United Kingdom"
16525,57.32,802.44,14,294,"United Kingdom"
16722,19.50,799.52,41,594,"United Kingdom"
14085,15.08,799.29,53,348,"United Kingdom"
16456,49.21,787.40,16,392,"United Kingdom"
17581,20.70,786.78,38,441,"United Kingdom"
14527,9.15,786.64,86,159,"United Kingdom"
17377,17.84,785.08,44,255,"United Kingdom"
14307,16.31,783.11,48,558,"United Kingdom"
14290,33.81,777.56,23,220,"United Kingdom"
12431,32.25,773.95,24,253,Australia
17338,13.71,767.60,56,336,"United Kingdom"
15547,13.70,767.37,56,559,"United Kingdom"
13319,23.73,759.28,32,296,"United Kingdom"
13370,19.36,754.87,39,343,"United Kingdom"
14016,19.33,753.74,39,374,EIRE
16539,24.91,747.25,30,355,"United Kingdom"
13327,35.48,745.00,21,276,"United Kingdom"
12839,19.93,737.45,37,438,"United Kingdom"
17787,23.75,736.28,31,356,"United Kingdom"
17920,7.75,735.91,95,302,"United Kingdom"
15482,90.46,723.64,8,256,"United Kingdom"
17059,6.17,722.36,117,471,"United Kingdom"
13758,29.95,718.85,24,401,"United Kingdom"
14739,59.49,713.88,12,476,"United Kingdom"
13199,64.71,711.80,11,668,"United Kingdom"
12347,22.96,711.79,31,319,Iceland
13178,22.19,710.00,32,388,"United Kingdom"
12747,47.08,706.27,15,213,"United Kingdom"
17406,36.95,702.10,19,270,"United Kingdom"
15100,350.40,700.80,2,64,"United Kingdom"
13455,23.10,692.94,30,190,"United Kingdom"
17690,26.46,687.90,26,242,"United Kingdom"
16779,19.11,687.83,36,328,"United Kingdom"
12921,19.65,687.80,35,380,"United Kingdom"
14952,98.02,686.16,7,472,"United Kingdom"
17449,9.37,684.26,73,264,"United Kingdom"
12395,21.93,679.92,31,753,Belgium
14639,16.50,676.54,41,272,"United Kingdom"
14030,25.06,676.50,27,97,"United Kingdom"
17655,75.12,676.10,9,274,"United Kingdom"
13102,29.30,673.92,23,362,"United Kingdom"
15301,19.81,673.37,34,503,"United Kingdom"
13269,23.65,662.17,28,427,"United Kingdom"
12720,14.60,657.13,45,523,Germany
14440,50.52,656.70,13,150,"United Kingdom"
16607,81.85,654.82,8,115,"United Kingdom"
18229,65.32,653.20,10,112,"United Kingdom"
13324,130.02,650.10,5,210,"United Kingdom"
15291,108.15,648.90,6,158,"United Kingdom"
13069,8.26,644.12,78,747,"United Kingdom"
18041,5.77,634.29,110,478,"United Kingdom"
15002,20.38,631.65,31,279,"United Kingdom"
16191,125.52,627.60,5,744,"United Kingdom"
15358,15.23,624.55,41,476,"United Kingdom"
16718,13.86,623.75,45,413,"United Kingdom"
15093,38.98,623.73,16,879,"United Kingdom"
13267,24.89,622.30,25,254,"United Kingdom"
17975,22.20,621.49,28,190,"United Kingdom"
12557,124.00,620.00,5,400,Spain
14032,21.36,619.42,29,389,"United Kingdom"
13854,55.40,609.44,11,280,"United Kingdom"
18118,4.03,608.51,151,271,"United Kingdom"
17218,6.25,606.28,97,239,"United Kingdom"
17211,10.86,597.52,55,400,"United Kingdom"
15574,3.71,590.15,159,303,"United Kingdom"
13270,590.00,590.00,1,200,"United Kingdom"
15394,24.49,587.66,24,242,"United Kingdom"
14625,17.22,585.53,34,255,"United Kingdom"
17069,22.43,583.20,26,232,"United Kingdom"
16782,6.08,577.99,95,152,"United Kingdom"
16161,9.30,576.30,62,258,"United Kingdom"
15955,28.62,572.38,20,246,"United Kingdom"
14282,43.92,571.00,13,300,"United Kingdom"
13523,18.90,566.95,30,365,"United Kingdom"
14849,20.25,566.89,28,306,"United Kingdom"
17757,7.07,565.80,80,251,"United Kingdom"
15197,185.50,556.50,3,78,"United Kingdom"
16550,11.56,554.66,48,257,"United Kingdom"
18109,26.32,552.75,21,99,"United Kingdom"
16839,110.45,552.24,5,232,"United Kingdom"
16923,11.01,550.50,50,218,"United Kingdom"
15716,14.40,547.10,38,435,"United Kingdom"
13874,30.02,540.45,18,180,"United Kingdom"
16919,8.31,540.01,65,211,"United Kingdom"
13564,13.17,540.00,41,256,"United Kingdom"
15373,33.57,537.10,16,66,"United Kingdom"
16327,8.12,535.60,66,392,"United Kingdom"
16455,17.73,531.98,30,302,"United Kingdom"
16710,7.00,524.97,75,249,"United Kingdom"
14256,16.37,523.86,32,302,"United Kingdom"
15898,8.15,521.69,64,230,"United Kingdom"
17198,6.77,521.66,77,242,"United Kingdom"
17567,19.18,517.95,27,244,"United Kingdom"
17188,85.61,513.64,6,174,"United Kingdom"
17341,3.19,513.60,161,291,"United Kingdom"
17191,7.08,510.11,72,320,"United Kingdom"
15649,510.00,510.00,1,120,"United Kingdom"
12841,10.77,505.99,47,321,"United Kingdom"
18144,71.81,502.65,7,319,"United Kingdom"
18223,23.89,501.69,21,195,"United Kingdom"
13496,19.27,501.01,26,229,"United Kingdom"
13221,14.23,498.16,35,153,"United Kingdom"
14901,13.08,497.05,38,206,"United Kingdom"
13715,11.04,496.63,45,229,"United Kingdom"
14741,26.07,495.30,19,410,"United Kingdom"
15024,10.23,491.22,48,259,"United Kingdom"
18074,37.66,489.60,13,190,"United Kingdom"
16503,16.27,488.09,30,219,"United Kingdom"
15165,18.06,487.75,27,160,"United Kingdom"
16812,31.96,479.35,15,81,"United Kingdom"
15680,15.96,478.89,30,331,"United Kingdom"
17706,17.07,477.83,28,225,"United Kingdom"
17890,7.45,476.96,64,343,"United Kingdom"
16701,43.34,476.76,11,366,"United Kingdom"
18176,15.88,476.35,30,283,"United Kingdom"
15078,21.60,475.15,22,213,"United Kingdom"
14243,24.84,472.00,19,170,"United Kingdom"
16218,16.83,471.30,28,438,"United Kingdom"
14723,5.23,471.00,90,206,"United Kingdom"
12712,23.53,470.63,20,144,Germany
14748,14.70,470.42,32,330,"United Kingdom"
15005,6.44,470.41,73,266,"United Kingdom"
12668,19.58,469.87,24,337,Germany
12782,21.07,463.50,22,193,Portugal
17685,35.62,463.02,13,356,"United Kingdom"
14525,23.12,462.30,20,312,"United Kingdom"
15023,12.45,460.60,37,232,"United Kingdom"
17402,19.17,459.97,24,120,"United Kingdom"
17880,17.65,458.92,26,314,"United Kingdom"
17735,20.66,454.60,22,218,"United Kingdom"
17085,8.39,452.99,54,228,"United Kingdom"
17320,20.50,450.92,22,210,"United Kingdom"
18168,11.54,449.94,39,204,"United Kingdom"
17412,21.32,447.76,21,210,"United Kingdom"
14688,23.42,444.98,19,454,"United Kingdom"
16163,88.32,441.60,5,92,"United Kingdom"
15822,27.51,440.20,16,160,"United Kingdom"
15811,19.08,438.80,23,128,"United Kingdom"
18239,15.11,438.10,29,208,"United Kingdom"
17062,8.38,435.73,52,336,"United Kingdom"
17897,6.04,434.62,72,156,"United Kingdom"
16719,9.79,430.73,44,146,"United Kingdom"
16098,35.88,430.60,12,134,"United Kingdom"
16743,14.34,430.28,30,338,"United Kingdom"
14299,85.85,429.24,5,92,"United Kingdom"
15950,14.79,428.82,29,135,"United Kingdom"
16656,107.19,428.76,4,396,"United Kingdom"
13982,18.63,428.60,23,208,"United Kingdom"
12725,17.82,427.80,24,164,Italy
13030,7.13,427.74,60,204,"United Kingdom"
14713,9.68,425.85,44,202,"United Kingdom"
15620,13.69,424.49,31,395,"United Kingdom"
14081,6.14,423.52,69,252,"United Kingdom"
17525,46.97,422.70,9,82,"United Kingdom"
15260,24.74,420.50,17,254,"United Kingdom"
14708,34.92,419.06,12,350,"United Kingdom"
15361,59.85,418.92,7,336,"United Kingdom"
12913,104.40,417.62,4,146,"United Kingdom"
16795,6.29,414.88,66,239,"United Kingdom"
16713,6.91,414.43,60,189,"United Kingdom"
17158,16.55,413.79,25,251,"United Kingdom"
14573,5.44,413.10,76,134,"United Kingdom"
15426,4.78,411.42,86,159,"United Kingdom"
13846,14.69,411.40,28,234,"United Kingdom"
17951,45.50,409.50,9,220,"United Kingdom"
14560,29.15,408.17,14,69,"United Kingdom"
13831,204.00,408.00,2,160,"United Kingdom"
16353,136.00,408.00,3,96,"United Kingdom"
17591,5.08,406.60,80,133,"United Kingdom"
14775,20.33,406.56,20,384,"United Kingdom"
16011,10.15,406.10,40,228,"United Kingdom"
18061,67.53,405.16,6,248,"United Kingdom"
16670,13.92,403.61,29,256,"United Kingdom"
15221,80.65,403.25,5,43,"United Kingdom"
15596,19.16,402.32,21,168,"United Kingdom"
17790,16.65,399.55,24,180,"United Kingdom"
17001,33.16,397.96,12,260,"United Kingdom"
15298,23.39,397.60,17,286,"United Kingdom"
17396,132.50,397.50,3,106,"United Kingdom"
14825,22.02,396.43,18,141,"United Kingdom"
18077,11.01,396.33,36,306,"United Kingdom"
14841,20.80,395.16,19,274,"United Kingdom"
17671,23.19,394.18,17,190,"United Kingdom"
16150,17.88,393.42,22,174,"United Kingdom"
17596,6.54,392.62,60,530,"United Kingdom"
12928,23.08,392.34,17,250,"United Kingdom"
17682,21.75,391.50,18,210,"United Kingdom"
12838,6.62,390.79,59,228,"United Kingdom"
18219,16.25,390.06,24,142,"United Kingdom"
13117,14.93,388.15,26,215,"United Kingdom"
14829,14.82,385.33,26,290,"United Kingdom"
17863,18.32,384.72,21,276,"United Kingdom"
13198,16.02,384.55,24,270,"United Kingdom"
15858,8.73,383.93,44,199,"United Kingdom"
15211,16.66,383.07,23,117,"United Kingdom"
16016,5.54,382.27,69,146,"United Kingdom"
17259,4.39,381.64,87,275,"United Kingdom"
17894,5.36,380.51,71,150,"United Kingdom"
14466,37.97,379.75,10,137,"United Kingdom"
13155,7.30,379.70,52,168,"United Kingdom"
16293,23.67,378.75,16,189,"United Kingdom"
12872,9.96,378.53,38,203,"United Kingdom"
17744,19.87,377.52,19,544,"United Kingdom"
18259,53.76,376.30,7,116,"United Kingdom"
16858,37.57,375.69,10,91,"United Kingdom"
17419,19.70,374.27,19,203,"United Kingdom"
16255,14.39,374.25,26,173,"United Kingdom"
14673,24.90,373.49,15,213,"United Kingdom"
13113,37.30,372.97,10,105,"United Kingdom"
16065,5.03,372.09,74,231,"United Kingdom"
15882,23.21,371.32,16,164,"United Kingdom"
15805,33.71,370.80,11,212,"United Kingdom"
17372,4.94,370.78,75,235,"United Kingdom"
17238,6.17,370.09,60,126,"United Kingdom"
15922,33.59,369.50,11,138,"United Kingdom"
16365,52.64,368.46,7,137,"United Kingdom"
16817,24.49,367.30,15,222,"United Kingdom"
13047,21.57,366.63,17,101,"United Kingdom"
12963,22.86,365.80,16,172,"United Kingdom"
18245,13.55,365.73,27,297,"United Kingdom"
15777,73.11,365.55,5,113,"United Kingdom"
15356,3.18,365.54,115,201,"United Kingdom"
16499,19.23,365.45,19,127,"United Kingdom"
16202,20.29,365.27,18,191,"United Kingdom"
16686,4.24,364.98,86,319,"United Kingdom"
14293,24.33,364.92,15,172,"United Kingdom"
16931,4.50,364.66,81,182,"United Kingdom"
14932,21.38,363.53,17,80,"Channel Islands"
14107,22.70,363.24,16,268,"United Kingdom"
12867,6.72,362.79,54,377,"United Kingdom"
17739,72.01,360.06,5,90,"United Kingdom"
17659,21.17,359.95,17,85,"United Kingdom"
17019,7.32,358.82,49,223,"United Kingdom"
16274,5.34,357.95,67,155,"United Kingdom"
14643,23.86,357.94,15,386,"United Kingdom"
13004,15.52,357.01,23,255,"United Kingdom"
15532,7.13,356.35,50,92,"United Kingdom"
17228,11.86,355.95,30,211,"United Kingdom"
16143,22.23,355.75,16,145,"United Kingdom"
14344,25.40,355.65,14,127,"United Kingdom"
15544,13.64,354.54,26,274,"United Kingdom"
15862,5.53,354.23,64,124,"United Kingdom"
17976,5.43,353.19,65,106,"United Kingdom"
13599,20.76,352.84,17,245,"United Kingdom"
15789,14.05,351.30,25,438,"United Kingdom"
15708,8.35,350.68,42,158,"United Kingdom"
13108,35.01,350.06,10,298,"United Kingdom"
13576,31.74,349.15,11,108,"United Kingdom"
14769,15.77,347.01,22,189,"United Kingdom"
14577,9.13,346.90,38,131,"United Kingdom"
16954,28.90,346.80,12,194,"United Kingdom"
17293,24.72,346.14,14,208,"United Kingdom"
18065,16.43,345.02,21,184,"United Kingdom"
15880,3.27,343.28,105,211,"United Kingdom"
17692,13.73,343.26,25,384,"United Kingdom"
17235,34.19,341.90,10,126,"United Kingdom"
15750,17.92,340.52,19,308,"United Kingdom"
15392,17.84,338.98,19,402,"United Kingdom"
16904,10.93,338.70,31,139,"United Kingdom"
16083,19.88,337.98,17,384,"United Kingdom"
13426,37.44,336.98,9,142,"United Kingdom"
16700,24.07,336.94,14,238,"United Kingdom"
17519,18.63,335.30,18,184,"United Kingdom"
16560,15.82,332.18,21,173,"United Kingdom"
15738,23.55,329.65,14,255,"United Kingdom"
13983,21.96,329.36,15,220,"United Kingdom"
14409,164.40,328.80,2,168,"United Kingdom"
17491,65.48,327.40,5,268,"United Kingdom"
16725,4.36,327.20,75,135,"United Kingdom"
14045,326.40,326.40,1,128,"United Kingdom"
17616,326.40,326.40,1,128,"United Kingdom"
17870,326.40,326.40,1,128,"United Kingdom"
15363,20.38,326.00,16,144,"United Kingdom"
16520,5.43,325.76,60,217,"United Kingdom"
17884,5.07,324.62,64,236,"United Kingdom"
13869,15.41,323.62,21,156,"United Kingdom"
13769,32.23,322.30,10,122,"United Kingdom"
14156,107.40,322.20,3,1548,EIRE
15224,23.01,322.08,14,152,"United Kingdom"
14878,24.77,322.01,13,135,"United Kingdom"
12971,15.31,321.59,21,305,"United Kingdom"
15529,18.91,321.46,17,196,"United Kingdom"
17618,6.04,320.28,53,161,"United Kingdom"
14334,16.01,320.15,20,225,"United Kingdom"
12763,20.00,320.08,16,196,Japan
13848,320.00,320.00,1,1000,"United Kingdom"
15628,16.80,319.18,19,250,"United Kingdom"
13209,24.53,318.85,13,117,"United Kingdom"
14702,10.62,318.70,30,167,"United Kingdom"
13705,31.81,318.14,10,103,"United Kingdom"
13969,12.70,317.59,25,133,"United Kingdom"
17220,9.92,317.50,32,83,"United Kingdom"
15581,7.04,316.76,45,132,"United Kingdom"
15204,35.18,316.58,9,258,"United Kingdom"
18043,4.79,316.46,66,172,"United Kingdom"
15192,21.00,315.00,15,196,"United Kingdom"
15867,6.98,314.30,45,110,"United Kingdom"
14709,20.94,314.10,15,108,"United Kingdom"
15525,5.51,313.93,57,124,"United Kingdom"
13077,22.41,313.72,14,303,"United Kingdom"
14729,4.42,313.49,71,197,"United Kingdom"
14220,28.45,312.98,11,134,"United Kingdom"
17213,20.86,312.90,15,92,"United Kingdom"
14388,14.90,312.80,21,170,"United Kingdom"
17392,6.38,312.41,49,221,"United Kingdom"
12785,22.28,311.95,14,131,Portugal
18116,4.73,311.88,66,119,"United Kingdom"
14142,14.17,311.81,22,313,"United Kingdom"
15353,25.97,311.65,12,131,"United Kingdom"
16746,28.33,311.64,11,236,"United Kingdom"
16781,18.31,311.25,17,113,"United Kingdom"
14189,34.58,311.24,9,254,"United Kingdom"
13627,15.56,311.19,20,197,"United Kingdom"
16556,19.43,310.85,16,187,"United Kingdom"
13842,15.53,310.57,20,163,"United Kingdom"
16033,6.88,309.69,45,98,"United Kingdom"
14083,4.69,309.54,66,179,"United Kingdom"
13148,17.19,309.40,18,178,"United Kingdom"
13652,17.16,308.80,18,112,"United Kingdom"
14395,11.43,308.68,27,174,"United Kingdom"
15641,15.42,308.37,20,357,"United Kingdom"
13369,22.02,308.28,14,149,"United Kingdom"
13402,18.13,308.28,17,190,"United Kingdom"
16316,15.41,308.22,20,230,"United Kingdom"
15973,76.96,307.82,4,106,"United Kingdom"
17033,38.48,307.80,8,124,"United Kingdom"
16186,15.38,307.68,20,231,"United Kingdom"
16717,20.48,307.25,15,75,"United Kingdom"
17551,7.14,306.84,43,150,"United Kingdom"
15658,21.87,306.20,14,64,"United Kingdom"
14150,25.52,306.18,12,262,"United Kingdom"
14621,19.11,305.70,16,130,"United Kingdom"
13531,20.36,305.45,15,103,"United Kingdom"
14210,20.33,304.95,15,93,"United Kingdom"
13097,27.72,304.90,11,90,"United Kingdom"
17041,17.91,304.50,17,190,"United Kingdom"
14496,60.87,304.34,5,86,"United Kingdom"
13329,43.46,304.20,7,175,"United Kingdom"
12947,17.88,304.04,17,184,"United Kingdom"
17732,16.89,303.97,18,93,"United Kingdom"
18085,33.77,303.90,9,78,"United Kingdom"
15384,15.18,303.57,20,248,"United Kingdom"
12427,30.35,303.50,10,79,Germany
14443,15.18,303.50,20,163,"United Kingdom"
13520,50.57,303.40,6,110,Switzerland
13611,20.21,303.15,15,183,"United Kingdom"
16145,17.81,302.78,17,270,"United Kingdom"
13999,17.77,302.10,17,265,"United Kingdom"
14001,33.47,301.24,9,94,"United Kingdom"
13506,17.71,301.12,17,232,"United Kingdom"
17978,25.08,300.92,12,499,"United Kingdom"
14913,17.70,300.87,17,423,"United Kingdom"
17676,20.05,300.70,15,158,"United Kingdom"
17674,27.33,300.66,11,349,"United Kingdom"
18178,18.79,300.65,16,105,"United Kingdom"
17530,4.63,300.64,65,194,"United Kingdom"
16037,20.03,300.46,15,160,"United Kingdom"
16546,49.90,299.40,6,156,"United Kingdom"
17552,22.96,298.52,13,144,"United Kingdom"
17146,18.64,298.25,16,91,"United Kingdom"
15889,4.51,297.92,66,149,"United Kingdom"
17068,9.60,297.45,31,118,"United Kingdom"
17576,13.50,297.00,22,130,"United Kingdom"
17980,19.68,295.20,15,235,"United Kingdom"
13145,295.00,295.00,1,1,"United Kingdom"
14696,16.37,294.62,18,284,"United Kingdom"
12875,293.76,293.76,1,1728,"United Kingdom"
17091,22.57,293.45,13,101,"United Kingdom"
17223,9.76,292.84,30,64,"United Kingdom"
16393,14.58,291.55,20,137,"United Kingdom"
12417,26.49,291.34,11,60,Belgium
17691,15.28,290.40,19,134,"United Kingdom"
17912,8.04,289.41,36,181,"United Kingdom"
16125,22.26,289.35,13,124,"United Kingdom"
15111,18.03,288.50,16,106,"United Kingdom"
14047,23.91,286.92,12,108,"United Kingdom"
16134,17.72,283.53,16,158,"United Kingdom"
17251,7.26,283.28,39,110,"United Kingdom"
13534,25.75,283.20,11,136,"United Kingdom"
14161,10.89,283.15,26,128,"United Kingdom"
14472,7.77,279.88,36,102,"United Kingdom"
16945,14.73,279.85,19,157,"United Kingdom"
17924,139.50,279.00,2,60,"United Kingdom"
16241,19.83,277.65,14,97,"United Kingdom"
17968,3.26,277.35,85,160,"United Kingdom"
16168,91.93,275.80,3,124,"United Kingdom"
14524,10.59,275.45,26,137,"United Kingdom"
12600,39.26,274.80,7,74,Germany
15351,5.39,274.67,51,129,"United Kingdom"
16814,18.22,273.29,15,107,"United Kingdom"
16727,5.93,272.82,46,177,"United Kingdom"
17496,27.10,271.05,10,79,"United Kingdom"
15919,5.52,270.72,49,242,"United Kingdom"
15563,12.28,270.19,22,315,"United Kingdom"
14506,5.39,269.70,50,112,"United Kingdom"
17262,134.43,268.86,2,74,"United Kingdom"
15996,8.23,263.25,32,95,"United Kingdom"
17950,6.75,263.17,39,186,"United Kingdom"
16770,21.85,262.20,12,120,"United Kingdom"
17964,7.48,261.76,35,195,"United Kingdom"
12662,17.43,261.48,15,157,Germany
15752,18.55,259.65,14,153,"United Kingdom"
18071,18.50,258.95,14,157,"United Kingdom"
12386,32.36,258.90,8,214,Australia
12942,16.17,258.75,16,69,"United Kingdom"
14896,8.04,257.22,32,184,"United Kingdom"
16048,32.06,256.44,8,144,"United Kingdom"
14594,8.23,255.00,31,146,"United Kingdom"
14543,50.88,254.40,5,40,"United Kingdom"
16905,25.44,254.40,10,108,"United Kingdom"
12797,19.54,254.03,13,118,Portugal
17860,4.36,252.80,58,104,"United Kingdom"
17194,9.02,252.62,28,118,"United Kingdom"
14735,50.44,252.20,5,68,"United Kingdom"
17646,27.89,251.00,9,110,"United Kingdom"
14092,19.28,250.65,13,95,"United Kingdom"
17303,4.72,250.04,53,144,"United Kingdom"
17456,14.70,249.86,17,222,"United Kingdom"
12779,31.02,248.16,8,140,Poland
16510,19.08,248.10,13,92,"United Kingdom"
17346,5.27,247.84,47,137,"United Kingdom"
16062,35.37,247.56,7,124,"United Kingdom"
14401,16.49,247.38,15,370,"United Kingdom"
17358,5.87,246.70,42,157,"United Kingdom"
17611,5.55,244.19,44,129,"United Kingdom"
17925,244.08,244.08,1,72,"United Kingdom"
17908,4.19,243.28,58,173,"United Kingdom"
15456,9.35,243.22,26,434,"United Kingdom"
17179,12.15,243.00,20,98,"United Kingdom"
17629,21.70,238.65,11,115,"United Kingdom"
17526,39.77,238.60,6,44,"United Kingdom"
13838,4.58,238.11,52,83,"United Kingdom"
13317,17.00,238.05,14,93,"United Kingdom"
16583,16.68,233.45,14,111,"United Kingdom"
15916,17.88,232.45,13,65,"United Kingdom"
16891,3.37,232.26,69,92,"United Kingdom"
17231,4.46,232.01,52,116,"United Kingdom"
16775,12.88,231.90,18,62,"United Kingdom"
18260,20.97,230.70,11,58,"United Kingdom"
13786,32.91,230.40,7,136,"United Kingdom"
16926,16.45,230.25,14,35,"United Kingdom"
15380,230.10,230.10,1,78,"United Kingdom"
15854,15.34,230.10,15,92,"United Kingdom"
16654,25.27,227.40,9,63,"United Kingdom"
